geneID	anr1_(Pae_G1a)_2.CEL	anr2_(Pae_G1a).CEL	anr3_(Pae_G1a).CEL	WT1_(Pae_G1a).CEL	WT2_(Pae_G1a).CEL	WT3_(Pae_G1a).CEL
PA0001	9.040880297767025	9.05304300499962	9.018875314658953	8.942902410519892	9.026257372966953	8.96207472137371
PA0002	10.419700441016543	10.34375845067866	10.415920528743925	10.616966178221324	10.579107002832789	10.539069221627019
PA0003	9.520057864402236	9.687226204667786	9.668829892849322	9.15518071056477	9.404262444404655	9.352116303065152
PA0004	9.725285376089364	9.717621192682234	9.721476223649253	9.564723698559213	9.77289689359719	9.646311157460232
PA0005	8.189793672254735	8.190426484504055	8.228517095037676	7.768419270291748	7.777502581203222	7.814140688297515
PA0006	7.69456025011848	7.5635705208762385	7.597583219372106	7.644179717673804	7.689608907961211	7.509172785058858
PA0007	6.7215317106539985	6.705111571153278	6.731129600779569	6.947433965164894	7.225320277417174	7.013539320452617
PA0008	9.25200300556954	9.214980785288919	9.206395167539334	9.005496109094846	9.244024195829107	9.388185013724621
PA0009	8.81964118875532	8.786740159340223	8.819813368112857	7.994056876885409	8.25404917079023	8.3537302224946
PA0010	5.60103844585557	5.52321566858642	5.558788682323115	5.834271622737997	5.704862186080378	5.506066117192374
PA0011	7.938176505117468	7.722234237878234	7.80343584029409	7.946852885591806	7.693724162373549	7.6685074495904475
PA0012	7.9555474330947	7.955372565392263	7.760874724364076	7.942002359321032	7.491361263034304	7.045929804147456
PA0013	5.63450219368392	5.7149500659378365	5.774617395535991	5.559337146836902	5.856851996420307	5.305432572845146
PA0014	5.448024375290144	5.449700023124919	5.594419860204093	5.347127539978501	5.405144174442311	5.349754723009244
PA0015	7.49596761003766	7.3692592054582065	7.371105395823815	7.87952755580589	7.480600002010183	7.235969533779191
PA0016	8.534970270658945	8.375576549042613	8.469201295422533	8.444523588017642	8.453578236123079	8.50743935570959
PA0017	8.289939071563087	8.315670493046166	8.330554987736623	8.067687926815264	8.169641991108069	8.445203370304718
PA0018	8.538433087511367	8.629744675343003	8.779751353643704	8.04895565201686	8.385562855558383	8.517311571216137
PA0019	9.473034906597157	9.584564958967118	9.320139368523735	9.02425392800387	9.006051740438703	9.024890483652854
PA0020	9.168269991540548	8.969205964059382	9.125488520140298	8.400751483448486	8.752253645188649	9.293528719315585
